Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
23844	2.1073	0.66766	-2.9483e-003	0.10996
23845	2.0892	0.6672	-1.1584e-002	0.10827
23846	2.1113	0.66342	-1.1448e-002	0.11034
23847	2.0938	0.67008	-2.3105e-003	0.1087
23848	2.1308	0.6601	-1.1324e-002	0.11216
23849	2.1503	0.65678	-1.1195e-002	0.11399
23850	2.1346	0.6622	-5.9497e-003	0.11252
23851	2.1456	0.66094	-3.3599e-003	0.11355
23852	2.1698	0.65346	-1.1062e-002	0.11583
23853	2.1784	0.65542	-2.1775e-003	0.11665
23854	2.1892	0.65357	-2.0177e-003	0.11767
23855	2.2457	0.64058	-1.0504e-002	0.12306
23856	2.2673	0.63692	-1.0334e-002	0.12515
23857	2.2542	0.64229	-2.0041e-003	0.12389
23858	2.2671	0.63953	-4.7121e-003	0.12514
23859	2.2868	0.63361	-1.0175e-002	0.12705
23860	2.3063	0.63031	-1.0012e-002	0.12896
23861	2.2866	0.63619	-4.5614e-003	0.12703
23862	2.305	0.63335	-2.8086e-003	0.12884
23863	2.3258	0.62702	-9.8453e-003	0.13088
23864	2.3245	0.62999	-2.6834e-003	0.13076
23865	2.3492	0.62569	-2.8176e-003	0.13321
23866	2.4021	0.61412	-9.1495e-003	0.13844
23867	2.4233	0.61055	-8.9452e-003	0.14052
23868	2.4046	0.61567	-4.6186e-003	0.13869
23869	2.4238	0.61285	-1.9556e-003	0.14058
23870	2.4428	0.60726	-8.7521e-003	0.14244
23871	2.4623	0.60398	-8.5546e-003	0.14435
23872	2.4433	0.60949	-1.7942e-003	0.14249
23873	2.4619	0.606	-3.4948e-003	0.14432
23874	2.4818	0.60069	-8.3527e-003	0.14626
23875	2.4814	0.60265	-3.3056e-003	0.14623
23876	2.5058	0.59856	-2.4629e-003	0.14862
23877	2.5586	0.58774	-7.5135e-003	0.1538
23878	2.5792	0.58427	-7.2765e-003	0.15585
23879	2.5652	0.58838	-1.2472e-003	0.15446
23880	2.5774	0.58619	-2.0254e-003	0.15568
23881	2.5987	0.58098	-7.0478e-003	0.15781
23882	2.6182	0.5777	-6.8145e-003	0.15979
23883	2.5969	0.58284	-1.7751e-003	0.15763
23884	2.6107	0.58039	-2.1856e-003	0.15903
23885	2.6566	0.57123	-6.3417e-003	0.16373
23886	2.6377	0.57442	-6.5766e-003	0.16178
23887	2.6428	0.57495	-6.1387e-004	0.16231
23888	2.6538	0.57307	1.9582e-004	0.16343
23889	2.7151	0.56137	-5.5868e-003	0.16977
23890	2.7352	0.55798	-5.3175e-003	0.17182
23891	2.7262	0.56051	-3.2768e-004	0.1709
23892	2.7547	0.55468	-5.0515e-003	0.17381
23893	2.7742	0.55139	-4.7807e-003	0.17579
23894	2.7644	0.55385	-8.365e-004	0.1748
23895	2.8131	0.54481	-4.226e-003	0.17972
23896	2.7937	0.54809	-4.5051e-003	0.17776
23897	2.8014	0.54746	-2.0483e-004	0.17855
23898	2.815	0.54504	1.4228e-003	0.17991
23899	2.8716	0.53489	-3.3552e-003	0.18561
23900	2.8911	0.53156	-3.0535e-003	0.18758
23901	2.8767	0.53432	1.4215e-003	0.18613
23902	2.8936	0.53131	2.0924e-003	0.18783
23903	2.9106	0.52824	-2.7481e-003	0.18954
23904	2.9301	0.52491	-2.4376e-003	0.19151
23905	2.913	0.52789	2.3524e-003	0.18979
23906	2.9291	0.525	2.822e-003	0.19141
23907	2.9695	0.51818	-1.7939e-003	0.19549
23908	2.9496	0.52158	-2.1219e-003	0.19347
23909	2.9576	0.5202	2.0891e-003	0.19429
23910	2.9678	0.51822	3.118e-003	0.19532
23911	2.9605	0.5226	5.9494e-003	0.19457
23912	2.1683	0.64095	1.8769e-002	0.11569
23913	2.2052	0.63478	1.852e-002	0.11919
23914	2.1936	0.61728	2.6416e-002	0.11807
23915	2.1755	0.6271	2.5553e-002	0.11636
23916	2.1797	0.60612	2.3346e-002	0.11673
23917	2.1819	0.64668	1.3654e-002	0.11698
23918	2.1927	0.64456	1.3501e-002	0.118
23919	2.1771	0.65092	1.6305e-002	0.11653
23920	2.0335	0.64192	2.2601e-002	0.10313
23921	2.001	0.66889	1.9896e-002	0.10011
23922	2.0384	0.66264	1.9644e-002	0.10359
23923	2.0071	0.64861	2.7488e-002	0.10069
23924	2.025	0.65257	2.6452e-002	0.10236
23925	2.0059	0.6471	2.2688e-002	0.10056
23926	2.0078	0.67651	1.4807e-002	0.10074
23927	2.0215	0.67629	1.4695e-002	0.102
23928	2.0373	0.67226	1.5725e-002	0.10347
23929	2.0138	0.67739	1.9053e-002	0.10129
23930	2.0297	0.67534	1.8019e-002	0.10276
23931	2.0522	0.63891	2.2475e-002	0.10486
23932	2.0359	0.60994	2.6876e-002	0.1033
23933	2.0388	0.62885	2.9277e-002	0.10362
23934	2.0197	0.62326	2.5519e-002	0.10182
23935	3.4648e-002	-3.5181e-003	0.12779	2.6403e-004
23936	3.4655e-002	2.6215e-002	0.12616	2.2377e-004
23937	9.1649e-002	4.4837e-002	0.1287	9.9052e-004
23938	6.7573e-002	5.0552e-002	0.12845	6.3777e-004
23939	5.5839e-002	3.2205e-002	0.13036	5.0012e-004
23940	8.2739e-002	2.7916e-002	0.13044	8.8504e-004
23941	6.9787e-002	7.2899e-002	0.12125	6.0095e-004
23942	9.3513e-002	-1.9919e-002	0.12146	9.7631e-004
