Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
414	0.78945	-2.9862e-002	-6.828e-002	5.2302e-002
415	0.78946	8.2997e-003	-9.1756e-002	4.7861e-002
416	0.94732	-4.8164e-002	-6.2942e-003	7.522e-002
417	0.94733	-4.2376e-002	-2.7205e-002	7.4168e-002
418	0.94734	-1.8438e-002	-6.3009e-002	7.0677e-002
419	0.94735	1.8144e-002	-8.5742e-002	6.4983e-002
420	1.1052	-3.5166e-002	-3.2019e-003	9.6236e-002
421	1.1052	-2.9745e-002	-2.3297e-002	9.4975e-002
422	1.1052	-6.978e-003	-5.777e-002	9.0859e-002
423	1.1052	2.8011e-002	-7.9735e-002	8.4096e-002
424	1.2631	-2.2151e-002	-1.9256e-004	0.11771
425	1.2631	-1.7084e-002	-1.9456e-002	0.11633
426	1.2631	4.5169e-003	-5.2563e-002	0.11159
427	1.2631	3.79e-002	-7.3735e-002	0.10407
428	1.421	-9.1207e-003	2.7329e-003	0.13832
429	1.421	-4.3953e-003	-1.5682e-002	0.13684
430	1.421	1.6047e-002	-4.7389e-002	0.13148
431	1.421	4.7811e-002	-6.7742e-002	0.12297
432	1.5789	3.9244e-003	5.5732e-003	0.15678
433	1.5789	8.321e-003	-1.1976e-002	0.15517
434	1.5789	2.7613e-002	-4.2248e-002	0.14926
435	1.5789	5.7745e-002	-6.1758e-002	0.14016
436	1.7368	1.6983e-002	8.3275e-003	0.17078
437	1.7368	2.1064e-002	-8.3392e-003	0.16919
438	1.7368	3.9213e-002	-3.7142e-002	0.16298
439	1.7368	6.7701e-002	-5.5781e-002	0.15322
440	1.8947	3.0054e-002	1.0995e-002	0.17919
441	1.8947	3.3833e-002	-4.7728e-003	0.17754
442	1.8947	5.0849e-002	-3.207e-002	0.171
443	1.8947	7.7679e-002	-4.9812e-002	0.16094
444	2.0526	4.3136e-002	1.3574e-002	0.18089
445	2.0526	4.6628e-002	-1.2775e-003	0.17925
446	2.0526	6.2519e-002	-2.7034e-002	0.17268
447	2.0526	8.768e-002	-4.3852e-002	0.16224
448	2.2105	5.6228e-002	1.6065e-002	0.17427
449	2.2105	5.9447e-002	2.1459e-003	0.17264
450	2.2105	7.4223e-002	-2.2035e-002	0.16595
451	2.2105	9.7702e-002	-3.7901e-002	0.15551
452	2.3684	6.9329e-002	1.8467e-002	0.16039
453	2.3684	7.2289e-002	5.4965e-003	0.15886
454	2.3684	8.596e-002	-1.7072e-002	0.15245
455	2.3684	0.10775	-3.1959e-002	0.14216
456	2.5263	8.2437e-002	2.0777e-002	0.13915
457	2.5263	8.5153e-002	8.7735e-003	0.13772
458	2.5263	9.773e-002	-1.2147e-002	0.13164
459	2.5263	0.11781	-2.6027e-002	0.12181
460	2.6842	9.5552e-002	2.2996e-002	0.11297
461	2.6842	9.8039e-002	1.1975e-002	0.11174
462	2.6842	0.10953	-7.2609e-003	0.10607
463	2.6842	0.12789	-2.0105e-002	9.7004e-002
464	2.8421	0.10867	2.5121e-002	8.6418e-002
465	2.8421	0.11095	1.51e-002	8.5208e-002
466	2.8421	0.12137	-2.4153e-003	8.0223e-002
467	2.8421	0.138	-1.4195e-002	7.1721e-002
468	3.	0.14812	-8.2965e-003	4.2033e-002
469	3.	0.13323	2.3882e-003	5.0045e-002
470	3.	0.12387	1.8145e-002	5.5889e-002
471	3.	0.1218	2.715e-002	5.8144e-002
472	3.	0.16604	-1.2117e-002	3.2424e-002
473	2.8421	0.15798	-1.8213e-002	6.0204e-002
474	2.6842	0.1499	-2.4308e-002	8.5158e-002
475	2.5263	0.14182	-3.0403e-002	0.10942
476	2.3684	0.13374	-3.6498e-002	0.12909
477	2.2105	0.12565	-4.2592e-002	0.14288
478	2.0526	0.11755	-4.8687e-002	0.14932
479	1.8947	0.10946	-5.4782e-002	0.14908
480	1.7368	0.10136	-6.0877e-002	0.14126
481	1.5789	9.326e-002	-6.6971e-002	0.1294
482	1.421	8.5159e-002	-7.3066e-002	0.11248
483	1.2632	7.7056e-002	-7.9161e-002	9.4613e-002
